ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 1.6059547 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[26935.405], mutation: OptionalDouble[3198.134196288618], entireMutation: OptionalDouble[46336.15731462926], copy: OptionalDouble[4412.0691382765535], matching: OptionalDouble[15683.611326996273]>
<timeTaken: 1.2622982 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21005.14], mutation: OptionalDouble[2910.2124018522245], entireMutation: OptionalDouble[35764.93486973948], copy: OptionalDouble[3955.435871743487], matching: OptionalDouble[11729.433342019283]>
<timeTaken: 1.7352253 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28978.81], mutation: OptionalDouble[3460.65], entireMutation: OptionalDouble[50409.34368737475], copy: OptionalDouble[4644.824649298597], matching: OptionalDouble[17291.223874598072]>
<timeTaken: 1.7250871 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[29071.99], mutation: OptionalDouble[3361.335941026027], entireMutation: OptionalDouble[49560.13527054108], copy: OptionalDouble[4887.184368737475], matching: OptionalDouble[17045.85655439787]>
<timeTaken: 2.0237667 second(s), bestFitness: -3.0, evaluation: OptionalDouble[32259.345], mutation: OptionalDouble[3259.27], entireMutation: OptionalDouble[60893.13126252505], copy: OptionalDouble[4994.664328657314], matching: OptionalDouble[21432.420264916564]>
<timeTaken: 1.3269883 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[22115.55], mutation: OptionalDouble[3143.769855277091], entireMutation: OptionalDouble[37399.21843687375], copy: OptionalDouble[4340.65631262525], matching: OptionalDouble[12290.643439168305]>
<timeTaken: 1.2100441 second(s), bestFitness: -0.85, evaluation: OptionalDouble[16167.235], mutation: OptionalDouble[2980.5], entireMutation: OptionalDouble[36217.174348697394], copy: OptionalDouble[4155.490981963928], matching: OptionalDouble[8252.1851355113]>
<timeTaken: 1.7884341 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[29503.21], mutation: OptionalDouble[3384.3456512862394], entireMutation: OptionalDouble[52227.76052104208], copy: OptionalDouble[4839.624248496994], matching: OptionalDouble[17819.47435337121]>
<timeTaken: 1.6299715 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27756.74], mutation: OptionalDouble[3216.3597840891894], entireMutation: OptionalDouble[46606.76352705411], copy: OptionalDouble[4607.224448897796], matching: OptionalDouble[15959.698942883557]>
<timeTaken: 1.3844147 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[22418.915], mutation: OptionalDouble[3363.7244511733534], entireMutation: OptionalDouble[39304.31362725451], copy: OptionalDouble[4548.426853707415], matching: OptionalDouble[12842.338499739677]>
